,district,meter,built_year,price_per_meter,room,elevator,parking,storage,floor_en,total_floor
95,35,44,1383,21591000.0,1,0.0,0.0,0.0,3,3
96,35,51,1381,27451000.0,1,0.0,0.0,1.0,3,4
97,35,130,1400,40000000.0,2,1.0,1.0,0.0,5,5
98,35,100,1400,27000000.0,2,1.0,1.0,0.0,6,6
99,35,56,1388,20536000.0,1,0.0,0.0,0.0,3,3
100,35,56,1383,27679000.0,2,0.0,0.0,1.0,2,2
101,35,76,1371,25658000.0,1,0.0,0.0,1.0,2,2
102,35,115,1400,32609000.0,2,1.0,1.0,1.0,3,3
103,35,53,1380,18679000.0,1,0.0,0.0,1.0,1,1
104,35,110,1400,41818000.0,2,1.0,1.0,0.0,4,5
105,35,130,1400,36000000.0,3,1.0,1.0,1.0,4,5
106,35,55,1392,29727000.0,1,1.0,0.0,1.0,1,4
107,35,247,1370,35000000.0,5,0.0,0.0,1.0,1,3
108,35,66,1385,25530000.0,2,0.0,0.0,1.0,2,2
109,35,40,1376,27500000.0,1,0.0,0.0,0.0,1,1
110,35,56,1395,23036000.0,1,1.0,1.0,1.0,2,2
111,35,55,1384,18000000.0,2,0.0,0.0,0.0,3,4
112,35,130,1400,37692000.0,2,1.0,1.0,1.0,5,5
113,35,47,1377,15319000.0,2,0.0,0.0,1.0,0,4
114,35,85,1399,34118000.0,2,1.0,1.0,1.0,1,1
115,35,83,1371,24217000.0,2,0.0,1.0,1.0,3,3
116,35,35,1385,24857000.0,1,0.0,0.0,1.0,0,4
117,35,55,1390,23636000.0,1,1.0,1.0,0.0,2,2
118,35,49,1392,18776000.0,1,1.0,0.0,0.0,1,1
119,35,57,1391,28070000.0,1,0.0,1.0,1.0,2,4
120,35,43,1376,21860000.0,1,0.0,0.0,0.0,1,5
121,35,48,1380,25000000.0,1,0.0,0.0,1.0,4,4
122,35,84,1397,35714000.0,2,1.0,1.0,1.0,1,5
123,35,56,1394,29464000.0,1,1.0,1.0,1.0,1,1
124,35,57,1393,28947000.0,1,1.0,1.0,1.0,1,4
125,35,61,1382,24590000.0,2,0.0,0.0,1.0,2,2
126,35,56,1392,29464000.0,1,1.0,1.0,1.0,1,1
127,35,53,1395,32075000.0,1,1.0,0.0,1.0,2,2
128,35,42,1384,23810000.0,1,0.0,0.0,1.0,3,4
129,35,48,1376,27083000.0,1,0.0,0.0,0.0,2,2
130,35,132,1400,37121000.0,2,1.0,1.0,1.0,5,5
131,35,40,1380,32500000.0,1,0.0,0.0,1.0,2,4
132,35,42,1382,23810000.0,1,0.0,0.0,0.0,2,2
133,35,47,1375,15319000.0,2,0.0,0.0,1.0,0,-1
134,35,55,1400,35455000.0,1,1.0,0.0,1.0,3,5
135,35,48,1378,15625000.0,2,0.0,0.0,1.0,0,4
136,35,57,1392,28947000.0,1,1.0,1.0,0.0,1,1
137,35,90,1396,38000000.0,2,1.0,1.0,0.0,3,4
138,35,43,1387,27907000.0,1,0.0,0.0,1.0,1,4
139,35,47,1373,20000000.0,1,0.0,0.0,1.0,4,4
140,35,130,1400,39000000.0,2,1.0,1.0,1.0,3,3
141,35,72,1384,29861000.0,2,0.0,1.0,1.0,1,1
142,35,68,1380,21324000.0,2,0.0,0.0,1.0,4,4
143,35,69,1400,39855000.0,2,1.0,1.0,1.0,4,4
144,35,56,1395,32143000.0,1,1.0,1.0,1.0,1,1
145,35,68,1400,38471000.0,2,1.0,1.0,1.0,4,4
146,35,85,1397,35294000.0,2,1.0,1.0,1.0,2,2
147,35,105,1382,26667000.0,2,0.0,0.0,1.0,3,3
148,35,63,1390,32540000.0,2,1.0,1.0,1.0,3,3
149,35,82,1388,27439000.0,2,0.0,0.0,1.0,4,4
150,35,68,1400,37500000.0,2,1.0,1.0,1.0,3,4
151,35,50,1389,28000000.0,2,0.0,1.0,1.0,2,2
152,35,52,1388,28846000.0,2,0.0,1.0,1.0,1,4
153,35,56,1391,32143000.0,1,1.0,1.0,0.0,1,1
154,35,50,1387,32000000.0,2,0.0,1.0,1.0,2,2
155,35,37,1375,27027000.0,1,0.0,0.0,0.0,0,0
156,35,74,1375,21622000.0,2,0.0,0.0,1.0,3,3
157,35,76,1396,36842000.0,2,1.0,1.0,1.0,5,5
158,35,38,1385,25000000.0,1,0.0,0.0,0.0,2,2
159,35,44,1382,28409000.0,1,0.0,1.0,1.0,1,4
160,35,70,1399,27143000.0,2,1.0,1.0,1.0,4,5
161,35,37,1375,27027000.0,1,0.0,0.0,0.0,0,0
162,35,58,1400,34138000.0,1,1.0,0.0,1.0,3,3
163,35,77,1397,36364000.0,2,1.0,1.0,1.0,5,5
164,35,59,1385,35593000.0,1,0.0,1.0,1.0,1,8
165,35,135,1370,28148000.0,3,0.0,0.0,0.0,1,1
166,35,62,1383,21452000.0,2,0.0,0.0,1.0,1,1
167,35,48,1371,22917000.0,2,0.0,0.0,1.0,4,4
168,35,57,1391,30702000.0,1,1.0,1.0,1.0,1,1
169,35,37,1375,27027000.0,1,0.0,0.0,0.0,0,4
170,35,57,1393,29649000.0,1,1.0,1.0,1.0,1,1
171,35,68,1380,21324000.0,2,0.0,0.0,1.0,3,3
172,35,80,1398,32500000.0,2,1.0,1.0,1.0,5,5
173,35,38,1392,28000000.0,1,0.0,0.0,0.0,4,4
174,35,56,1391,32679000.0,1,1.0,1.0,1.0,1,1
175,35,57,1392,30175000.0,1,1.0,1.0,1.0,1,1
176,35,70,1400,37143000.0,2,1.0,1.0,1.0,3,3
177,35,68,1380,21765000.0,2,0.0,0.0,1.0,4,4
178,35,57,1391,30702000.0,1,1.0,1.0,1.0,1,1
179,35,55,1382,17273000.0,1,0.0,0.0,1.0,0,0
180,35,52,1382,20769000.0,1,0.0,0.0,0.0,0,0
181,35,48,1380,22917000.0,1,0.0,0.0,1.0,4,4
182,35,56,1382,22321000.0,1,0.0,0.0,0.0,0,0
183,35,55,1382,22727000.0,1,0.0,0.0,0.0,0,4
184,35,86,1388,26744000.0,2,0.0,1.0,1.0,2,2
185,35,45,1384,23333000.0,1,0.0,1.0,1.0,3,4
186,35,52,1381,21154000.0,1,0.0,0.0,0.0,0,0
187,35,220,1371,25909000.0,5,0.0,0.0,0.0,1,1
188,35,63,1391,35000000.0,2,1.0,1.0,1.0,3,3
189,35,41,1398,31951000.0,1,1.0,0.0,1.0,2,4
190,35,65,1391,32308000.0,2,1.0,1.0,1.0,4,4
191,35,112,1388,24107000.0,2,1.0,1.0,1.0,2,4
192,35,54,1373,27407000.0,1,0.0,0.0,1.0,1,4
193,35,50,1381,26000000.0,1,0.0,1.0,1.0,3,3
194,35,77,1391,24286000.0,2,0.0,1.0,1.0,4,4
195,35,67,1392,31343000.0,1,1.0,0.0,0.0,2,4
196,35,56,1391,32143000.0,1,1.0,1.0,0.0,1,4
197,35,57,1391,26316000.0,1,0.0,1.0,0.0,2,3
198,35,55,1378,23091000.0,1,0.0,0.0,1.0,3,4
199,35,130,1400,37692000.0,2,1.0,1.0,1.0,3,3
200,35,50,1380,24400000.0,2,0.0,0.0,1.0,3,4
201,35,55,1382,23636000.0,1,0.0,0.0,1.0,2,4
202,35,60,1375,20000000.0,2,0.0,0.0,1.0,0,3
203,49,84,1378,26429000.0,2,0.0,0.0,1.0,2,7
204,49,135,1400,51852000.0,3,1.0,1.0,1.0,4,5
205,49,173,1400,48324000.0,3,1.0,1.0,1.0,3,5
206,49,135,1400,47333000.0,3,1.0,1.0,1.0,2,5
207,49,92,1392,39130000.0,2,1.0,1.0,1.0,1,5
208,49,125,1400,42160000.0,3,1.0,1.0,1.0,4,5
209,49,137,1388,38686000.0,2,1.0,1.0,1.0,1,5
210,49,105,1390,45238000.0,2,1.0,1.0,1.0,2,2
211,49,108,1400,41389000.0,2,1.0,1.0,1.0,1,5
212,49,80,1378,26875000.0,2,0.0,1.0,0.0,3,3
213,49,70,1385,33571000.0,2,0.0,0.0,1.0,2,2
214,49,116,1394,45948000.0,3,1.0,1.0,1.0,4,5
215,49,78,1383,29487000.0,2,0.0,1.0,1.0,4,4
216,49,102,1380,34902000.0,2,0.0,1.0,1.0,2,4
217,49,95,1370,33684000.0,2,0.0,1.0,1.0,2,2
218,49,63,1384,35397000.0,1,1.0,1.0,1.0,5,5
219,49,62,1380,30645000.0,1,0.0,1.0,1.0,3,4
220,49,104,1400,42981000.0,2,1.0,1.0,0.0,3,5
221,49,117,1393,40171000.0,2,1.0,1.0,1.0,2,5
222,49,65,1385,32308000.0,2,0.0,1.0,1.0,3,3
223,49,95,1375,36842000.0,2,0.0,1.0,1.0,1,1
224,49,73,1381,30822000.0,2,0.0,0.0,1.0,2,4
225,49,84,1384,31429000.0,2,1.0,1.0,1.0,1,5
226,49,85,1378,25588000.0,2,0.0,0.0,1.0,4,4
227,49,67,1384,28358000.0,1,1.0,0.0,1.0,2,5
228,49,62,1383,30645000.0,1,0.0,1.0,1.0,3,4
229,49,80,1377,31500000.0,2,0.0,0.0,1.0,2,2
230,49,65,1383,33077000.0,2,1.0,0.0,1.0,0,15
231,49,82,1377,26524000.0,2,0.0,0.0,1.0,4,4
232,49,90,1370,27778000.0,2,0.0,1.0,1.0,4,4
233,49,177,1400,44633000.0,3,1.0,1.0,1.0,3,6
234,49,64,1380,28906000.0,2,0.0,0.0,0.0,3,5
235,49,80,1388,30750000.0,2,1.0,0.0,1.0,3,5
236,49,110,1400,12400000.0,2,1.0,1.0,1.0,13,13
237,49,127,1392,38000000.0,3,1.0,1.0,1.0,2,5
238,49,173,1400,48000000.0,3,1.0,1.0,1.0,3,3
239,49,93,1386,35484000.0,2,1.0,0.0,1.0,1,5
240,49,120,1400,47500000.0,2,1.0,1.0,0.0,3,5
241,49,87,1400,42529000.0,2,1.0,1.0,0.0,1,5
242,49,73,1384,26712000.0,2,0.0,0.0,1.0,3,4
243,49,80,1375,33750000.0,2,0.0,1.0,1.0,2,3
244,49,47,1377,31489000.0,1,0.0,0.0,1.0,1,2
245,49,53,1376,25472000.0,1,0.0,0.0,1.0,1,4
246,49,75,1383,29200000.0,2,1.0,0.0,1.0,4,4
247,49,65,1385,32308000.0,2,0.0,1.0,1.0,3,3
